iter	F1	Logloss
0	0.4744411296	0.6779873105
1	0.4828754135	0.6644986882
2	0.4812258164	0.6526009632
3	0.4729379138	0.6418170241
4	0.4801381999	0.632495278
5	0.4811203907	0.624690742
6	0.4827196817	0.6170583335
7	0.4848588929	0.6104886648
8	0.5047873563	0.6046258677
9	0.5086669008	0.5988975249
10	0.5068538581	0.594150449
11	0.5104296448	0.5898182706
12	0.5102570827	0.5858511613
13	0.5107826631	0.5823481541
14	0.5108245984	0.5791662476
15	0.5132463025	0.5761909619
16	0.5157612341	0.5734079223
17	0.5148973365	0.5709193196
18	0.5155738566	0.5687517853
19	0.5175309635	0.5668370573
20	0.5220312766	0.5648477009
21	0.5223758883	0.5631399119
22	0.5233330006	0.5616183274
23	0.5239164795	0.5600813892
24	0.5254414585	0.5586544001
25	0.5271972422	0.5572577492
26	0.5263490243	0.5559228359
27	0.5257004384	0.5548131052
28	0.5271199834	0.55361642
29	0.5285318698	0.5525989339
30	0.5289503424	0.551647028
31	0.5300861503	0.5505080016
32	0.5292945297	0.5495583203
33	0.5293992357	0.5487885806
34	0.5294865043	0.5479490902
35	0.5308623424	0.5471458317
36	0.531312642	0.5464115228
37	0.5311349341	0.5457597702
38	0.5310897087	0.5451666385
39	0.5318638314	0.544622667
40	0.5323215854	0.5441104244
41	0.5328368314	0.5435971857
42	0.5334129975	0.5429913612
43	0.5340897223	0.5425241612
44	0.5347883465	0.5419060604
45	0.5355314476	0.5413199322
46	0.5363758905	0.540799732
47	0.5359742154	0.5403801384
48	0.536271955	0.5399879515
49	0.5366100561	0.5396013774
50	0.5365888365	0.5392553807
51	0.5364925733	0.5388932799
52	0.5369497152	0.5384338554
53	0.5368328797	0.5381078554
54	0.5370165282	0.5377906105
55	0.5371341261	0.5375609847
56	0.5376453348	0.5371486369
57	0.538114484	0.5368199681
58	0.5382788172	0.5365394851
59	0.5383704525	0.5362789665
60	0.5384986796	0.5359722968
61	0.5386191148	0.5357104259
62	0.5388457503	0.5355053371
63	0.5389414639	0.5351487996
64	0.5393668729	0.5348835582
65	0.5401773176	0.5345426195
66	0.5403411092	0.5342483323
67	0.5406506621	0.5339930733
68	0.540645686	0.5338034309
69	0.5408342522	0.5336052597
70	0.5410319822	0.5334084146
71	0.5415427657	0.5332341121
72	0.5416493904	0.533056178
73	0.5419440188	0.5328834565
74	0.5421611597	0.5327409738
75	0.5424428216	0.5325727177
76	0.5425818657	0.532390873
77	0.5428496133	0.5322239703
78	0.5433939556	0.5320223452
79	0.5437080614	0.5318635288
80	0.543834003	0.5317627833
81	0.5438130332	0.5316183571
82	0.5444193531	0.5314594135
83	0.5447536401	0.5313139662
84	0.5447300342	0.5312063138
85	0.544931212	0.5310938172
86	0.5448561525	0.5309881178
87	0.5449221438	0.5308901649
88	0.5452377379	0.5307767848
89	0.5456682281	0.5306098441
90	0.5461405204	0.5304631031
91	0.5465378194	0.5303182005
92	0.5466779366	0.5302246747
93	0.5468973787	0.530101301
94	0.5470774355	0.5299547507
95	0.5472962288	0.5298685399
96	0.5474950067	0.5297811436
97	0.5477084867	0.5296474013
98	0.5476872902	0.5295529128
99	0.5477488718	0.5294611579
100	0.5479886073	0.5293519532
101	0.5479494206	0.5292215575
102	0.5478931346	0.5290697835
103	0.548114318	0.5289848078
104	0.548394072	0.5289132806
105	0.5486190785	0.5288239947
106	0.5485851586	0.5287663961
107	0.5487868245	0.5286621784
108	0.5488194214	0.5285899402
109	0.5490096665	0.5285065785
110	0.5492171138	0.5284295707
111	0.5492943117	0.5283636616
112	0.549439229	0.528306832
113	0.5496498966	0.5282257674
114	0.5496725322	0.5281570901
115	0.5497381982	0.5281071806
116	0.5498957823	0.528016986
117	0.5499790344	0.5279289365
118	0.5502129037	0.5278460396
119	0.5505712129	0.5277679287
120	0.5507053997	0.5277188357
121	0.5508970116	0.5276750686
122	0.5510719365	0.5275958271
123	0.5511215019	0.5275538963
124	0.5511961802	0.5274748132
125	0.5512147201	0.5274190973
126	0.5514160073	0.5273708874
127	0.5515126653	0.5273148851
128	0.5515109065	0.5272728127
129	0.551522059	0.5272214237
130	0.5517047056	0.5271633319
131	0.5516426964	0.5271156308
132	0.5519252436	0.5270572258
133	0.5521964712	0.5270145651
134	0.552205925	0.5269663798
135	0.5523457035	0.5268970302
136	0.5525030222	0.5268553382
137	0.5525838584	0.5267842441
138	0.5527433145	0.5267225035
139	0.5527718462	0.5266752594
140	0.5527092169	0.5266298002
141	0.5527504717	0.5265948089
142	0.5528492951	0.526526367
143	0.553019024	0.5264843221
144	0.5532745207	0.5264358659
145	0.5532824327	0.5263929571
146	0.5534554803	0.5263446203
147	0.5536103134	0.5262987336
148	0.5538298857	0.5262223108
149	0.5539981333	0.5261815831
150	0.5540497014	0.5261290403
151	0.5541057256	0.5260826311
152	0.5541821485	0.5260519687
153	0.5542969427	0.5260051294
154	0.554479229	0.5259703857
