iter	TotalF1	Logloss
0	0.6896273994	0.6841000196
1	0.6985339146	0.675188364
2	0.6952741927	0.6670633785
3	0.6937968803	0.6595552607
4	0.6962126774	0.6524009194
5	0.6899767519	0.6458476728
6	0.6900529174	0.6396830736
7	0.6995891467	0.6340512926
8	0.6972073045	0.6289119245
9	0.6984050054	0.6240495851
10	0.6984288298	0.6194484183
11	0.6983355915	0.6151007886
12	0.6996537072	0.6109488044
13	0.7006563103	0.6070452914
14	0.7019970958	0.603606426
15	0.7009453041	0.6002539348
16	0.7004454126	0.5968679983
17	0.7033309991	0.5930904217
18	0.7038051954	0.589768653
19	0.7045869981	0.5868012928
20	0.7059205444	0.5836040271
21	0.7061110121	0.5808007363
22	0.707102677	0.5781512664
23	0.7074189588	0.5757294939
24	0.7078775021	0.5735519795
25	0.7084172847	0.5713764681
26	0.7086840781	0.5693211541
27	0.7092107221	0.5675911932
28	0.709275309	0.5657370953
29	0.7094090908	0.5640759819
30	0.7097917613	0.5625073331
31	0.7098861043	0.5609473486
32	0.7105544467	0.5593148792
33	0.7110245247	0.5578662213
34	0.7112204806	0.5565925286
35	0.7114250683	0.5552554605
36	0.7118851555	0.5540726708
37	0.712000936	0.5529333208
38	0.7122697925	0.5518671522
39	0.7125107652	0.5508876985
40	0.7125948315	0.5499844359
41	0.7128512179	0.5489611047
42	0.7128695669	0.5480910055
43	0.7129446655	0.5473123525
44	0.7132347629	0.546468142
45	0.71337061	0.5456349947
46	0.7133807	0.544943301
47	0.7136149528	0.5442497595
48	0.7137968164	0.5434931526
49	0.7140945176	0.5428591528
50	0.7140825646	0.5423389713
51	0.7141545243	0.5418031829
52	0.7144568711	0.5412180489
53	0.7145638057	0.5406755828
54	0.7146625882	0.54025877
55	0.7149310155	0.539693447
56	0.7151791052	0.539093376
57	0.7151035852	0.5386256981
58	0.7152593338	0.5380966962
59	0.7154142626	0.5376044957
60	0.7156795498	0.5371410847
61	0.7158251698	0.5367165287
62	0.7159269103	0.5363529105
63	0.7160238618	0.5359484396
64	0.7161420649	0.5355612621
