iter	TotalF1	MultiClass
0	0.6927041047	0.6813272217
1	0.6921766432	0.670542919
2	0.694906987	0.6608427861
3	0.6999854833	0.65192966
4	0.6947300489	0.6437473261
5	0.6989674082	0.6360371065
6	0.7012191959	0.629024102
7	0.7001018913	0.6226151021
8	0.7010665915	0.6167355417
9	0.7020215844	0.6112915599
10	0.7013280509	0.6061801055
11	0.7017998132	0.6015035836
12	0.7014539553	0.5973204797
13	0.7030383966	0.5927661059
14	0.7042337312	0.5884680959
15	0.706195345	0.5845237711
16	0.7075954836	0.5809105023
17	0.7079560918	0.5774269539
18	0.709284642	0.5741728257
19	0.709657885	0.5713214339
20	0.7099585107	0.5686176523
21	0.7108547034	0.5660781036
22	0.7112810966	0.5637129562
23	0.7117982983	0.5615220752
24	0.7120760714	0.5594811442
25	0.712619487	0.5574902327
26	0.7129598576	0.5556203721
27	0.7135658619	0.553935874
28	0.7138588826	0.552345501
29	0.714192638	0.5507538311
30	0.7143526443	0.5493285144
31	0.7145894365	0.5480851171
32	0.714859559	0.5467995659
33	0.7151447671	0.5455034666
34	0.7153635799	0.5444780374
35	0.7154561225	0.5434370665
36	0.7155163699	0.5424804425
37	0.7156524833	0.5415999908
38	0.7157293253	0.5407188984
39	0.7162684901	0.5398001974
40	0.7165457784	0.5389806542
41	0.7166411337	0.5381990468
42	0.7166437745	0.5375237464
43	0.7168760588	0.5367944488
44	0.7173629765	0.5360963241
45	0.7175147381	0.5355124467
46	0.71796247	0.5348111956
47	0.7183970159	0.5342277498
48	0.7184693212	0.5335956295
49	0.7187005313	0.5330819117
50	0.7188301318	0.5325833025
51	0.7189379966	0.5320557105
52	0.7192305041	0.5316590275
53	0.7193028546	0.5312229982
54	0.7195377088	0.5306556517
55	0.7196074984	0.5302551804
56	0.7197345651	0.5298018009
57	0.7199755807	0.5292410163
58	0.7202148127	0.5289094718
59	0.7205388417	0.5283749822
60	0.7207010441	0.5280251874
61	0.7208389276	0.5276399818
62	0.7210047554	0.5272243318
63	0.7211670377	0.5268073248
64	0.7213449349	0.5264359655
65	0.7214506709	0.5261755252
66	0.7217653749	0.5257675408
67	0.7219118578	0.5254063733
68	0.7221313628	0.5250578765
69	0.7221620469	0.5248178542
70	0.7223852069	0.5245968474
71	0.7225493297	0.5242782025
72	0.7227248668	0.5239062371
73	0.7228878385	0.5236198285
74	0.7231088862	0.5232796421
75	0.7232089026	0.5231184822
76	0.7232570467	0.5229622798
77	0.723406533	0.5227862954
78	0.7234291389	0.52258954
79	0.7236269068	0.5224204681
80	0.7238059615	0.5221730038
81	0.7239257759	0.5220023219
82	0.7239256309	0.5218570582
83	0.7239175589	0.5216781148
84	0.7242304603	0.5214281401
85	0.7243734257	0.5211916416
86	0.724559117	0.5210389195
87	0.7245455368	0.5208804928
88	0.7245774675	0.5207494905
89	0.7247430196	0.5205652964
90	0.7248543358	0.5204031794
91	0.7250065554	0.5202310617
92	0.7250572044	0.5201106689
93	0.7252092397	0.519845532
94	0.7253380456	0.5197353106
95	0.7254677757	0.5195478097
96	0.7254320723	0.5194080425
97	0.7255023148	0.5192408239
98	0.7256955931	0.519043936
99	0.7259442993	0.5188528301
100	0.7261066156	0.5187405787
101	0.7261538939	0.5186372397
102	0.7262740296	0.5185606222
103	0.7262455055	0.5184183711
104	0.7263981557	0.5182978691
105	0.7266410823	0.5181392356
106	0.7266212174	0.5180597046
107	0.7268357819	0.5179096805
108	0.7269419891	0.5177367926
