iter	Passed	Remaining
0	93	9273
1	186	9147
2	278	8997
3	369	8861
4	452	8593
5	538	8437
6	614	8168
7	691	7953
8	777	7858
9	849	7642
10	911	7377
11	970	7113
12	1031	6903
13	1098	6749
14	1151	6524
15	1214	6373
16	1287	6284
17	1361	6202
18	1429	6092
19	1487	5949
20	1554	5846
21	1639	5813
22	1719	5755
23	1796	5688
24	1869	5607
25	1930	5493
26	2011	5438
27	2081	5351
28	2151	5267
29	2232	5210
30	2307	5135
31	2377	5053
32	2446	4966
33	2538	4926
34	2610	4848
35	2692	4785
36	2767	4712
37	2836	4627
38	2895	4528
39	2964	4446
40	3032	4363
41	3110	4295
42	3194	4234
43	3277	4170
44	3333	4074
45	3402	3994
46	3478	3922
47	3549	3845
48	3617	3765
49	3703	3703
50	3766	3619
51	3821	3527
52	3895	3454
53	3956	3370
54	4021	3290
55	4078	3204
56	4125	3111
57	4188	3032
58	4270	2967
59	4334	2889
60	4412	2821
61	4477	2744
62	4544	2668
63	4627	2603
64	4707	2534
65	4792	2468
66	4853	2390
67	4915	2313
68	4988	2241
69	5049	2164
70	5124	2092
71	5192	2019
72	5254	1943
73	5333	1873
74	5393	1797
75	5458	1723
76	5516	1647
77	5577	1573
78	5649	1501
79	5713	1428
80	5782	1356
81	5845	1283
82	5937	1216
83	6001	1143
84	6059	1069
85	6114	995
86	6175	922
87	6228	849
88	6284	776
89	6340	704
90	6408	633
91	6474	562
92	6555	493
93	6638	423
94	6727	354
95	6804	283
96	6866	212
97	6936	141
98	6985	70
99	7060	0
