iter	MultiClass
0	1.031474206
1	0.9725550437
2	0.9184808016
3	0.8596464422
4	0.8219216773
5	0.780386403
6	0.7493100279
7	0.7114699006
8	0.6762007834
9	0.6418315907
10	0.6132820459
11	0.5871916809
12	0.5688788517
13	0.5449180099
14	0.5234244674
15	0.4981856501
16	0.4754077627
17	0.4586218642
18	0.4345899628
19	0.4185210365
20	0.4010722775
21	0.3869566819
22	0.3715863161
23	0.356005333
24	0.3409562188
25	0.3298725834
26	0.3183862352
27	0.306478404
28	0.2960941693
29	0.2838962391
30	0.273689691
31	0.2646817525
32	0.2563248765
33	0.2490742663
34	0.2407651243
35	0.2337816452
36	0.2268505277
37	0.2184956048
38	0.211621531
39	0.2056541359
40	0.1992325984
41	0.1952323819
42	0.1910685355
43	0.1863697563
44	0.1801135701
45	0.174709739
46	0.17081861
47	0.1658890693
48	0.1612854375
49	0.1563207555
50	0.151552197
51	0.1474998425
52	0.1439418543
53	0.1412907386
54	0.1385004407
55	0.1347613346
56	0.1317152758
57	0.1286613996
58	0.1244651103
59	0.1205782773
60	0.1187677958
61	0.1153883843
62	0.1132265154
63	0.1108340373
64	0.1086689644
65	0.1067083279
66	0.1036235794
67	0.1010342099
68	0.09890616838
69	0.09671895779
70	0.09441998394
71	0.09214568676
72	0.09055388109
73	0.08904937311
74	0.087520746
75	0.08555503045
76	0.08443969281
77	0.08333811406
78	0.08220732484
79	0.08060583974
80	0.07981899254
81	0.07922832351
82	0.07816484461
83	0.07689056964
84	0.07510951557
85	0.07475013476
86	0.07335533718
87	0.0728345335
88	0.07244377068
89	0.07199084844
90	0.0711293384
91	0.06976165595
92	0.06839391889
93	0.06733909628
94	0.06670008109
95	0.0657105842
96	0.06530232207
97	0.0639836912
98	0.06271628444
99	0.0617505537
