iter	Passed	Remaining
0	3	385
1	5	270
2	6	223
3	8	207
4	11	222
5	14	234
6	17	235
7	20	235
8	23	236
9	26	234
10	28	233
11	31	228
12	33	225
13	36	221
14	38	217
15	40	213
16	43	210
17	45	207
18	47	203
19	50	200
20	52	197
21	54	194
22	57	191
23	59	189
24	62	188
25	64	183
26	65	177
27	66	172
28	68	167
29	69	163
30	71	158
31	72	154
32	74	150
33	76	147
34	77	144
35	79	140
36	80	137
37	82	133
38	83	130
39	85	127
40	86	124
41	88	122
42	90	119
43	93	118
44	94	115
45	96	113
46	97	110
47	98	107
48	100	104
49	101	101
50	104	100
51	105	97
52	107	95
53	109	92
54	110	90
55	112	88
56	113	85
57	114	83
58	115	80
59	117	78
60	118	75
61	120	73
62	121	71
63	123	69
64	125	67
65	126	65
66	127	62
67	129	60
68	130	58
69	131	56
70	133	54
71	134	52
72	135	50
73	137	48
74	138	46
75	140	44
76	142	42
77	143	40
78	144	38
79	145	36
80	147	34
81	149	32
82	150	30
83	152	29
84	154	27
85	155	25
86	157	23
87	158	21
88	160	19
89	161	17
90	162	16
91	164	14
92	165	12
93	166	10
94	168	8
95	169	7
96	171	5
97	173	3
98	174	1
99	175	0
