iter	MultiClass
0	1.028916708
1	0.977462579
2	0.9308205363
3	0.8855796487
4	0.8417029659
5	0.8021266901
6	0.7661208843
7	0.7297649158
8	0.7024383545
9	0.6714797297
10	0.6478211471
11	0.6213033764
12	0.598227151
13	0.5780329921
14	0.5560438913
15	0.5372141823
16	0.5215794969
17	0.5032905885
18	0.4867820248
19	0.4701836294
20	0.4564715552
21	0.4416133719
22	0.428020719
23	0.4160290248
24	0.4079487394
25	0.3970615384
26	0.3855630228
27	0.3772772046
28	0.3666802408
29	0.3580627444
30	0.3487299122
31	0.3395031931
32	0.3299134096
33	0.3222032601
34	0.314953884
35	0.3076007756
36	0.301447313
37	0.2940040724
38	0.2865741282
39	0.2804135359
40	0.2742433226
41	0.2704169641
42	0.2663112582
43	0.260294987
44	0.2544973139
45	0.2497063897
46	0.2455561684
47	0.2415515208
48	0.2370664973
49	0.2328667648
50	0.2289414911
51	0.2245789871
52	0.2213702881
53	0.2186081773
54	0.2154214668
55	0.2123546091
56	0.2091313416
57	0.2061189447
58	0.201705456
59	0.1985894992
60	0.1957281978
61	0.1931874674
62	0.1900404772
63	0.1873831615
64	0.1847569351
65	0.1829267888
66	0.1796635326
67	0.1763234787
68	0.1743429778
69	0.1718282051
70	0.1691887183
71	0.1672859987
72	0.1661958559
73	0.1639463185
74	0.1621890804
75	0.1607333535
76	0.1594825026
77	0.1575936703
78	0.1555711854
79	0.1537439961
80	0.1530545945
81	0.1510667165
82	0.1494187699
83	0.1476198137
84	0.1467636651
85	0.1457151587
86	0.1449594558
87	0.143516182
88	0.1425288551
89	0.1415251058
90	0.1404817234
91	0.1393615911
92	0.1374630121
93	0.1362339102
94	0.1349451927
95	0.1337987113
96	0.1329740353
97	0.1318647961
98	0.1314079225
99	0.1301920159
