iter	Passed	Remaining
0	2	223
1	4	240
2	7	231
3	9	221
4	11	217
5	19	299
6	22	298
7	25	290
8	27	278
9	29	269
10	32	259
11	34	250
12	40	268
13	46	287
14	49	281
15	52	276
16	55	270
17	58	265
18	62	264
19	70	282
20	73	277
21	76	270
22	78	262
23	80	254
24	82	247
25	84	239
26	86	234
27	95	245
28	99	243
29	102	238
30	104	232
31	106	227
32	109	221
33	115	224
34	121	225
35	124	222
36	127	217
37	130	212
38	132	206
39	134	201
40	140	202
41	146	202
42	150	199
43	153	195
44	155	190
45	158	185
46	160	180
47	162	176
48	172	179
49	175	175
50	178	171
51	180	166
52	183	162
53	185	157
54	186	152
55	192	151
56	197	149
57	201	145
58	203	141
59	205	137
60	208	133
61	210	128
62	212	124
63	214	120
64	215	116
65	218	112
66	219	108
67	221	104
68	222	100
69	224	96
70	226	92
71	228	88
72	230	85
73	236	83
74	240	80
75	245	77
76	248	74
77	251	70
78	254	67
79	257	64
80	262	61
81	269	59
82	273	55
83	276	52
84	279	49
85	280	45
86	282	42
87	284	38
88	286	35
89	291	32
90	297	29
91	300	26
92	303	22
93	305	19
94	307	16
95	310	12
96	312	9
97	320	6
98	325	3
99	327	0
