iter	RMSE
0	3.416221669
1	3.392639225
2	3.369829836
3	3.348570618
4	3.325535382
5	3.303301937
6	3.282054048
7	3.260395414
8	3.238171292
9	3.215931427
10	3.193818856
11	3.173127685
12	3.152415497
13	3.131073021
14	3.110899533
15	3.089729626
16	3.069737488
17	3.050417843
18	3.030258077
19	3.010874365
20	2.991492324
21	2.971902457
22	2.952600308
23	2.935124846
24	2.916553034
25	2.899305955
26	2.881358319
27	2.86325424
28	2.845291698
29	2.827579078
30	2.810329017
31	2.793063851
32	2.77616375
33	2.76024851
34	2.743513887
35	2.726203928
36	2.708816557
37	2.693440787
38	2.678187012
39	2.66220474
40	2.646173918
41	2.630077573
42	2.614428949
43	2.601074492
44	2.585994088
45	2.571720993
46	2.556455253
47	2.542234136
48	2.527722103
49	2.513965311
50	2.499415193
51	2.485016812
52	2.470960604
53	2.456667316
54	2.444375619
55	2.430361726
56	2.417333165
57	2.405098929
58	2.391671441
59	2.378575069
60	2.36567968
61	2.352569152
62	2.339587319
63	2.327697248
64	2.314542682
65	2.301972509
66	2.289351112
67	2.276795964
68	2.264985862
69	2.252838204
70	2.241467714
71	2.229928373
72	2.218369051
73	2.207517314
74	2.196614861
75	2.185412088
76	2.174303755
77	2.163416225
78	2.152635822
79	2.141482954
80	2.131532154
81	2.120602033
82	2.109842809
83	2.099438291
84	2.089790336
85	2.079450258
86	2.068860351
87	2.058918784
88	2.048691199
89	2.038779469
90	2.028756396
91	2.01915688
92	2.009787806
93	2.0003575
94	1.990721223
95	1.980867921
96	1.972683011
97	1.963314467
98	1.954220061
99	1.945197999
100	1.937047377
101	1.928185313
102	1.919457361
103	1.911660384
104	1.902914725
105	1.894617629
106	1.886110732
107	1.878509318
108	1.870823396
109	1.862921238
110	1.854770787
111	1.846552741
112	1.838360814
113	1.83057617
114	1.823166866
115	1.815924463
116	1.808156336
117	1.80069765
118	1.793636098
119	1.786628297
120	1.779157471
121	1.771613029
122	1.76480824
123	1.757631597
124	1.750283062
125	1.742997106
126	1.736352113
127	1.729687013
128	1.723033168
129	1.716282309
130	1.709452734
131	1.702704528
