iter	Passed	Remaining
0	3	3278
1	6	3127
2	9	3053
3	12	3034
4	15	3130
5	18	3135
6	21	3102
7	27	3353
8	35	3949
9	40	3984
10	44	3957
11	47	3935
12	56	4254
13	62	4374
14	67	4418
15	70	4340
16	74	4282
17	78	4255
18	88	4554
19	92	4539
20	97	4539
21	100	4484
22	104	4442
23	117	4778
24	121	4733
25	126	4737
26	129	4669
27	132	4605
28	135	4545
29	138	4484
30	141	4426
31	144	4383
32	150	4418
33	158	4506
34	164	4523
35	167	4490
36	170	4446
37	178	4507
38	186	4593
39	191	4605
40	196	4585
41	199	4550
42	202	4505
43	206	4495
44	216	4599
45	222	4619
46	226	4600
47	233	4640
48	242	4704
49	246	4692
50	252	4696
51	261	4768
52	268	4800
53	273	4797
54	276	4758
55	279	4717
56	282	4678
57	286	4645
58	289	4616
59	292	4586
60	295	4555
61	298	4523
62	304	4526
63	307	4502
64	311	4476
65	314	4448
66	318	4431
67	321	4408
68	324	4385
69	328	4359
70	330	4329
71	333	4301
72	337	4289
73	341	4267
74	344	4249
75	347	4225
76	351	4213
77	354	4196
78	358	4177
79	361	4154
80	364	4130
81	368	4125
82	374	4142
83	384	4193
84	388	4184
85	392	4169
86	395	4151
87	399	4141
88	409	4194
89	413	4184
90	418	4176
91	421	4156
92	424	4142
93	427	4122
94	433	4128
95	442	4166
96	447	4161
97	450	4148
98	453	4131
99	461	4154
100	468	4172
101	472	4161
102	475	4145
103	480	4137
104	489	4169
105	495	4179
106	500	4173
107	503	4158
108	506	4140
109	512	4148
110	521	4178
111	526	4173
112	530	4160
113	533	4144
114	539	4151
115	547	4174
116	551	4165
117	556	4156
118	559	4143
119	569	4177
120	576	4184
121	580	4174
122	583	4158
123	586	4142
124	590	4133
125	601	4170
126	605	4161
127	609	4150
128	613	4140
129	616	4124
130	623	4134
131	629	4139
132	633	4128
133	635	4109
134	637	4087
135	639	4065
136	641	4043
137	647	4045
138	654	4053
139	657	4039
140	660	4022
141	662	4004
142	665	3987
143	667	3966
144	669	3945
145	671	3928
146	681	3953
147	684	3942
148	687	3926
149	689	3909
150	691	3890
151	693	3870
152	695	3851
153	697	3832
154	707	3856
155	711	3849
156	714	3835
157	716	3819
158	719	3808
159	721	3789
160	725	3781
161	735	3807
162	739	3797
163	742	3783
164	744	3767
165	746	3751
166	748	3733
167	750	3716
168	754	3710
169	762	3722
170	765	3712
171	768	3699
172	770	3684
173	772	3668
174	774	3652
175	778	3644
176	787	3659
177	790	3649
178	793	3638
179	795	3624
180	797	3609
181	799	3594
182	801	3579
183	810	3596
184	814	3587
185	816	3575
186	819	3561
187	821	3547
188	823	3532
189	825	3518
190	828	3509
191	837	3522
192	840	3514
193	843	3503
194	845	3490
195	847	3477
196	849	3463
197	855	3463
198	861	3469
199	865	3460
200	867	3449
201	870	3436
202	872	3423
