iter	Logloss
0	0.6632513834
1	0.6383678528
2	0.6154016205
3	0.595627514
4	0.5769529787
5	0.5608313252
6	0.5494008544
7	0.5365350526
8	0.5228594672
9	0.5129460462
10	0.5023157893
11	0.4944876478
12	0.4890543556
13	0.4830871562
14	0.4754929657
15	0.469034672
16	0.4654792007
17	0.4607449785
18	0.4564391572
19	0.4520300451
20	0.4483209226
21	0.4457292857
22	0.4432462856
23	0.4403723393
24	0.4379727038
25	0.4351195842
26	0.4330845164
27	0.4312801164
28	0.4288890912
29	0.4274553243
30	0.4257547772
31	0.4234019596
32	0.4210192542
33	0.4192609183
34	0.4182402394
35	0.4169249348
36	0.4152990418
37	0.413581104
38	0.412817896
39	0.4115013283
40	0.4106167802
41	0.4094999461
42	0.4077080285
43	0.4066625893
44	0.4063219879
45	0.4043382049
46	0.4035305015
47	0.4026675001
48	0.4018563096
49	0.4004785949
50	0.40038006
51	0.3987136376
52	0.3974442556
53	0.3958715035
54	0.3953548183
55	0.3945272696
56	0.3924837532
57	0.3916737679
58	0.3907290151
59	0.3893818137
60	0.3886955483
61	0.38801632
62	0.3867336062
63	0.3862774505
64	0.3852080864
65	0.3845975928
66	0.3840163146
67	0.3832423731
68	0.3821801821
69	0.3812391694
70	0.3799369132
71	0.3792754484
72	0.3784525919
73	0.3780451254
74	0.3764902575
75	0.3757869322
76	0.3749724756
77	0.374255281
78	0.3736448295
79	0.372378049
80	0.371763518
81	0.3710815484
82	0.3704908428
83	0.3698752283
84	0.3693895255
85	0.3690478017
86	0.3686950542
87	0.3682671305
88	0.3678916267
89	0.367475237
90	0.3668935771
91	0.3665468559
92	0.3661316135
93	0.3650940061
94	0.3644818523
95	0.3639330581
96	0.3636148686
97	0.3630219468
98	0.3625921258
99	0.3621163207
