iter	Passed	Remaining
0	47	4731
1	48	2384
2	49	1594
3	49	1196
4	50	958
5	51	799
6	51	681
7	51	597
8	52	529
9	53	479
10	53	435
11	54	398
12	54	367
13	55	339
14	55	315
15	56	295
16	56	276
17	57	260
18	57	246
19	58	233
20	58	221
21	59	209
22	59	200
23	60	191
24	60	182
25	61	174
26	61	167
27	62	160
28	63	154
29	63	148
30	64	142
31	64	137
32	65	132
33	65	127
34	67	124
35	67	120
36	68	116
37	68	112
38	69	108
39	70	105
40	70	101
41	70	97
42	71	94
43	71	91
44	72	88
45	72	85
46	73	82
47	73	79
48	74	77
49	74	74
50	75	72
51	75	69
52	76	67
53	76	65
54	77	63
55	77	61
56	78	59
57	78	57
58	79	55
59	82	54
60	85	54
61	87	53
62	89	52
63	90	50
64	91	49
65	92	47
66	93	45
67	93	44
68	94	42
69	95	40
70	96	39
71	97	37
72	97	36
73	98	34
74	99	33
75	99	31
76	100	29
77	100	28
78	101	26
79	101	25
80	102	24
81	102	22
82	103	21
83	105	20
84	109	19
85	112	18
86	113	17
87	115	15
88	116	14
89	117	13
90	118	11
91	119	10
92	119	9
93	120	7
94	121	6
95	121	5
96	122	3
97	123	2
98	123	1
99	124	0
